Source,Target,type,id,mention,Weight,who
44,334,Directed,451,mentioned,1,Dion
44,335,Directed,452,mentioned,1,Volumnia
44,336,Directed,453,mentioned,1,Aristippus of Cyrene
45,57,Directed,454,mentioned,5,Marc Anthony
45,47,Directed,455,mentioned,4,C. Furnius
45,57,Directed,456,inferred,1,Marc Anthony
45,337,Directed,457,inferred,1,L. Munatius Plancus Maior
45,48,Directed,458,mentioned,4,M. Aemilius Lepidus
45,54,Directed,459,inferred,4,Decimus Junius Brutus Albinus
45,338,Directed,460,inferred,2,Cn. Munatius Plancus
45,195,Directed,461,inferred,1,Aulus Hirtius
45,194,Directed,462,inferred,1,Pansa
45,339,Directed,463,mentioned,1,M. Varisidius
45,340,Directed,464,mentioned,1,T. Munatius
45,341,Directed,465,mentioned,2,M. Caecilius Cornutus
45,79,Directed,466,mentioned,2,P. Servilius Vatia Isauricus
45,342,Directed,467,mentioned,1,P. Titius
45,79,Directed,468,inferred,1,P. Servilius Vatia Isauricus
45,338,Directed,469,mentioned,1,Cn. Munatius Plancus
47,45,Directed,470,mentioned,2,L. Munatius Plancus
47,91,Directed,471,mentioned,1,Quintus
47,26,Directed,472,mentioned,1,Aulus Caecina
47,344,Directed,473,mentioned,2,Calvisius
47,54,Directed,474,mentioned,1,Decimus Junius Brutus Albinus
49,54,Directed,475,mentioned,2,Decimus Junius Brutus Albinus
49,57,Directed,476,mentioned,1,Marc Anthony
49,9,Directed,477,mentioned,1,Servius Sulpicius Rufus
49,249,Directed,478,mentioned,1,L. Julius Caesar IV
49,345,Directed,479,mentioned,1,Augustus
49,346,Directed,480,inferred,1,Trebonius Maior
45,288,Directed,481,mentioned,1,Homer
54,102,Directed,482,mentioned,5,P. Rutilius Lupus
54,37,Directed,483,inferred,1,Caesar
54,194,Directed,484,mentioned,1,Pansa
54,103,Directed,485,mentioned,1,L. Scribonius Libo
54,162,Directed,486,mentioned,1,Servius Sulpicius Rufus (son)
54,346,Directed,487,mentioned,1,M. Seius Minor
54,347,Directed,488,mentioned,2,Graeceius
54,345,Directed,489,mentioned,4,Augustus
54,348,Directed,490,mentioned,1,Polla
54,195,Directed,491,mentioned,1,Aulus Hirtius
54,9,Directed,492,inferred,1,Servius Sulpicius Rufus
54,165,Directed,493,inferred,1,L. Calpurnius Piso
54,117,Directed,494,inferred,1,L. Marcius Phillipus
54,57,Directed,495,inferred,1,Marc Anthony
54,57,Directed,496,mentioned,4,Marc Anthony
54,349,Directed,497,mentioned,2,Flaccus Voluminus
54,350,Directed,498,mentioned,1,T. Vibius
54,45,Directed,499,mentioned,2,L. Munatius Plancus
54,48,Directed,500,mentioned,3,Marcus Aemilius Lepidus
54,55,Directed,501,mentioned,3,M. Junius Brutus
54,351,Directed,502,mentioned,2,L. Aelius Lamia
54,113,Directed,503,mentioned,1,Clodius
54,122,Directed,504,mentioned,1,Aulus Gabinius
54,51,Directed,505,mentioned,2,Servius Sulpicius Galba
54,352,Directed,506,mentioned,1,Labeo Segulius
54,354,Directed,507,mentioned,1,Appius Claudius Pulcher
54,353,Directed,508,mentioned,1,Gaius Clodius Pulcher
58,38,Directed,509,mentioned,1,C. Trebatius Testa
58,37,Directed,510,mentioned,1,caesar
58,17,Directed,511,mentioned,1,Pompey
59,17,Directed,512,mentioned,1,Pompey
59,37,Directed,513,mentioned,1,Caesar
59,169,Directed,514,mentioned,1,Atticus
56,54,Directed,515,mentioned,4,Decimus Junius Brutus Albinus
56,55,Directed,516,mentioned,7,M. Junius Brutus
56,43,Directed,517,mentioned,5,Dolabella
56,37,Directed,518,inferred,2,Caesar
56,37,Directed,519,mentioned,4,Caesar
56,163,Directed,520,mentioned,2,L. Calpurnius Piso Caesonius
56,249,Directed,521,mentioned,2,L. Julius Caesar IV
56,9,Directed,522,mentioned,2,Servius Sulpicius Rufus
56,355,Directed,523,mentioned,1,L. Aurelius Cotta
56,79,Directed,524,mentioned,1,P. Servilius Vatia Isauricus
56,233,Directed,525,mentioned,1,Q. Caecilius Metullus Scipio
56,57,Directed,526,inferred,1,Marc Anthony
56,195,Directed,527,inferred,2,Aulus Hirtius
56,194,Directed,528,inferred,2,Pansa
56,237,Directed,529,inferred,1,L. Cassius Longinus
56,48,Directed,530,inferred,1,Marcus Aemilius Lepidus
56,89,Directed,531,inferred,1,L. Aemilius Lepidus Paullus
56,88,Directed,532,inferred,1,C. Claudius Marcellus Minor
56,15,Directed,533,inferred,1,C. Antonius Hybrida
56,184,Directed,534,inferred,1,M. Valerius Messalla Rufus
56,356,Directed,535,inferred,1,Cn. Domitius Calvinus
56,171,Directed,536,inferred,1,Q. Fufius Calenus
